Référence,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
C 1 32,Accord intercantonal sur les contributions aux coûts de formation des hautes écoles universitaires (accord intercantonal universitaire) (AIU),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 32.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur les contributions aux coûts de formation des hautes écoles universitaires (accord intercantonal universitaire) (L-AIU),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 36,Accord intercantonal sur les contributions dans le domaine des écoles supérieures (AES),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 36.0,Loi autorisant le Conseil d'Etat à adhérer à l'accord intercantonal sur les contributions dans le domaine des écoles supérieures (L-AES),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 40,Loi concernant la fondation de la faculté autonome de théologie protestante (LFTP),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 45,"Loi concernant la création d’un groupe multidisciplinaire chargé de l’étude, de l’enseignement introductif et de l’information sur les médecines non conventionnelles (LGMNC)",C,C 1,Instruction publique,"Instruction publique, culture"
C 1 50,Loi sur le sport (LSport),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 50.01,Règlement d'application de la loi sur le sport (RSport),C,C 1,Instruction publique,"Instruction publique, culture"
C 1 50.04,Règlement concernant l'octroi de subventions en faveur de l'activité physique et sportive des populations à besoins spécifiques et des très jeunes enfants (RSAPS),C,C 1,Instruction publique,"Instruction publique, culture"
C 2 05,Loi sur la formation professionnelle (LFP),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 05.01,Règlement d’application de la loi sur la formation professionnelle (RFP),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 05.26,Règlement relatif à la formation commerciale pour porteurs de maturité menant au diplôme cantonal d’assistant en gestion et en administration (RFCAGA),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 06,Accord intercantonal sur les contributions dans le domaine de la formation professionnelle initiale (accord sur les écoles professionnelles) (AEPr),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 06.0,Loi autorisant le Conseil d’Etat à adhérer à l'accord intercantonal sur les contributions dans le domaine de la formation professionnelle initiale (accord sur les écoles professionnelles) (L-AEPr),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 08,Loi sur la formation continue des adultes (LFCA),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 08.01,Règlement d'application de la loi sur la formation continue des adultes (RFCA),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 10,Loi sur l'information et l'orientation scolaires et professionnelles (LIOSP),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 2 10.01,Règlement d'application de la loi sur l’information et l’orientation scolaires et professionnelles (RIOSP),C,C 2,Formation professionnelle,"Instruction publique, culture"
C 3 05,Loi pour la promotion de la culture et de la création artistique (LPCCA),C,C 3,Culture,"Instruction publique, culture"
C 3 05.01,Règlement d’application de la loi sur la culture (RCulture),C,C 3,Culture,"Instruction publique, culture"
C 3 09,Loi relative au Fonds cantonal d’art contemporain (LFCAC),C,C 3,Culture,"Instruction publique, culture"
C 3 10,Loi sur l’Institut national genevois (LING),C,C 3,Culture,"Instruction publique, culture"
C 3 20.04,Règlement sur l’administration de l’observatoire (RObs),C,C 3,Culture,"Instruction publique, culture"
C 3 20.08,Règlement relatif au dépôt et à la comparaison des chronomètres à l’observatoire de Genève (RDCObs),C,C 3,Culture,"Instruction publique, culture"
C 3 20.12,"Règlement relatif aux émoluments pour les travaux spéciaux, perçus par l’observatoire (REmObs)",C,C 3,Culture,"Instruction publique, culture"
D 1 05,Loi sur la gestion administrative et financière de l’Etat (LGAF),D,D 1,Organisation,Finances et contributions
D 1 05.04,Règlement sur la planification financière et le contrôle budgétaire (RPFCB),D,D 1,Organisation,Finances et contributions
D 1 05.06,Règlement sur la planification et la gestion financière des investissements (RPGFI),D,D 1,Organisation,Finances et contributions
D 1 05.10,Règlement sur la gestion des risques (RGR),D,D 1,Organisation,Finances et contributions
D 1 05.12,Règlement sur le contentieux pécuniaire de l’Etat de Genève (RCPéc),D,D 1,Organisation,Finances et contributions
D 1 05.15,Règlement sur l’établissement des états financiers (REEF),D,D 1,Organisation,Finances et contributions
D 1 05.20,Règlement sur la trésorerie de l'Etat (RTE),D,D 1,Organisation,Finances et contributions
D 1 06,Loi sur le financement de la solidarité internationale (LFSI),D,D 1,Organisation,Finances et contributions
D 1 06.01,Règlement d’application de la loi sur le financement de la solidarité internationale (RFSI),D,D 1,Organisation,Finances et contributions
D 1 09,Loi sur la surveillance de l’Etat (LSurv),D,D 1,Organisation,Finances et contributions
D 1 09.01,Règlement d’application de la loi sur la surveillance de l’Etat (RSurv),D,D 1,Organisation,Finances et contributions
D 1 11,Loi sur les indemnités et les aides financières (LIAF),D,D 1,Organisation,Finances et contributions
D 1 11.01,Règlement d'application de la loi sur les indemnités et les aides financières (RIAF),D,D 1,Organisation,Finances et contributions
D 1 13,Loi concernant le traitement et la retraite des magistrates et magistrats de la Cour des comptes (LTRCC),D,D 1,Organisation,Finances et contributions
D 1 15,Loi sur la caisse des consignations de l’Etat (LCCE),D,D 1,Organisation,Finances et contributions
D 1 15.03,Règlement relatif aux taux d’intérêt de la caisse des consignations (RTICC),D,D 1,Organisation,Finances et contributions
D 1 20.04,Règlement concernant les rapports de la caisse de l’Etat avec les offices cantonaux des poursuites et des faillites (RCEOCPF),D,D 1,Organisation,Finances et contributions
D 1 25,Loi affectant le produit net des successions attribuées à l’Etat par l’article 466 du code civil au désendettement de l’Etat (LPSu),D,D 1,Organisation,Finances et contributions
D 1 30.04,Règlement concernant la répartition des produits du monopole de l’alcool et des naturalisations ainsi que de la part de l’Etat au droit des pauvres (RDPauvres),D,D 1,Organisation,Finances et contributions
D 1 35.05,Règlement relatif à la répartition du produit des amendes (RRPA),D,D 1,Organisation,Finances et contributions
D 1 40,Accord-cadre pour la collaboration intercantonale assortie d’une compensation des charges (ACI),D,D 1,Organisation,Finances et contributions
D 1 40.0,Loi portant adhésion de la République et canton de Genève à l’Accord-cadre pour la collaboration intercantonale assortie d’une compensation des charges (L-ACI),D,D 1,Organisation,Finances et contributions
D 2 05,Loi sur la Banque cantonale de Genève (LBCGe),D,D 2,"Etablissements financiers et de crédit, emprunts",Finances et contributions
D 2 10,Loi sur la caisse publique de prêts sur gages (LCPG),D,D 2,"Etablissements financiers et de crédit, emprunts",Finances et contributions
D 2 20,Loi générale relative à la garantie de l'Etat pour les institutions de prévoyance publiques cantonales (LGar),D,D 2,"Etablissements financiers et de crédit, emprunts",Finances et contributions
D 3 05,Loi générale sur les contributions publiques (LCP),D,D 3,Impôts et taxes,Finances et contributions
D 3 05.04,Règlement d’application de diverses dispositions de la loi générale sur les contributions publiques (RDLCP),D,D 3,Impôts et taxes,Finances et contributions
D 3 05.12,Règlement d’application de l’article 110A de la loi générale sur les contributions publiques (RCP‑110A),D,D 3,Impôts et taxes,Finances et contributions
D 3 05.16,Règlement concernant l’adaptation de certaines contributions au coût de la vie (RACV),D,D 3,Impôts et taxes,Finances et contributions
D 3 05.20,Règlement concernant le calcul de la capacité financière des communes (RCFC),D,D 3,Impôts et taxes,Finances et contributions
D 3 05.30,Arrêté approuvant le nombre des centimes additionnels à percevoir pour l’année 2024 par les communes du canton de Genève (ArCA-2024),D,D 3,Impôts et taxes,Finances et contributions
D 3 06,Loi relative à la diminution de l’impôt sur le revenu des personnes physiques (LDIRPP),D,D 3,Impôts et taxes,Finances et contributions
D 3 07,Loi sur les centimes additionnels cantonaux (LCACant),D,D 3,Impôts et taxes,Finances et contributions
D 3 08,Loi sur l’imposition des personnes physiques (LIPP),D,D 3,Impôts et taxes,Finances et contributions
D 3 08.01,Règlement d’application de la loi sur l’imposition des personnes physiques (RIPP),D,D 3,Impôts et taxes,Finances et contributions
D 3 08.05,Règlement relatif à la compensation des effets de la progression à froid (RCEPF),D,D 3,Impôts et taxes,Finances et contributions
D 3 08.07,Règlement concernant la déduction en cas d’activité des 2 conjoints pour les périodes fiscales 2001 à 2009 (RDAC – 2001-2009),D,D 3,Impôts et taxes,Finances et contributions
D 3 08.08,Règlement relatif à la valeur locative (RVL),D,D 3,Impôts et taxes,Finances et contributions
D 3 08.10,Règlement provisoire relatif à l’imposition d’après la dépense selon le droit fédéral harmonisé (RPLDD),D,D 3,Impôts et taxes,Finances et contributions
D 3 10,Loi sur les estimations fiscales de certains immeubles (LEFI),D,D 3,Impôts et taxes,Finances et contributions
D 3 15,Loi sur l’imposition des personnes morales (LIPM),D,D 3,Impôts et taxes,Finances et contributions
D 3 17,Loi de procédure fiscale (LPFisc),D,D 3,Impôts et taxes,Finances et contributions
D 3 17.05,"Règlement d’application de l’article 12, alinéa 1, lettre k, de la loi de procédure fiscale (RPFisc-12)",D,D 3,Impôts et taxes,Finances et contributions
D 3 17.07,Règlement d'application de l'article 29A de la loi de procédure fiscale (RPFisc-29A),D,D 3,Impôts et taxes,Finances et contributions
D 3 18,Loi relative à la perception et aux garanties des impôts des personnes physiques et des personnes morales (LPGIP),D,D 3,Impôts et taxes,Finances et contributions
D 3 18.01,Règlement relatif à la perception et aux garanties des impôts des personnes physiques et des personnes morales (RPGIP),D,D 3,Impôts et taxes,Finances et contributions
D 3 18.03,Règlement concernant la remise en matière d’impôts directs (RRID),D,D 3,Impôts et taxes,Finances et contributions
D 3 18.04,Règlement d’application des articles 7 et 28 de la loi relative à la perception et aux garanties des impôts des personnes physiques et des personnes morales (RPGIP-7-28),D,D 3,Impôts et taxes,Finances et contributions
D 3 19.03,Règlement fixant les émoluments de l’administration fiscale cantonale (REmAFC),D,D 3,Impôts et taxes,Finances et contributions
D 3 20,Loi sur l’imposition à la source des personnes physiques et morales (LISP),D,D 3,Impôts et taxes,Finances et contributions
D 3 20.01,Règlement d’application de la loi sur l’imposition à la source des personnes physiques et morales (RISP),D,D 3,Impôts et taxes,Finances et contributions
D 3 20.02,Règlement fixant les barèmes d'imposition à la source des personnes physiques et morales (RISP-Barèmes),D,D 3,Impôts et taxes,Finances et contributions
D 3 20.03,Règlement instituant une commission consultative en matière d’impôt à la source (RCIS),D,D 3,Impôts et taxes,Finances et contributions
D 3 25,Loi sur les droits de succession (LDS),D,D 3,Impôts et taxes,Finances et contributions
D 3 25.05,Règlement sur l’inventaire au décès (RInDé),D,D 3,Impôts et taxes,Finances et contributions
D 3 25.09,Barème pour le calcul des droits de succession (BCDS),D,D 3,Impôts et taxes,Finances et contributions
D 3 30,Loi sur les droits d’enregistrement (LDE),D,D 3,Impôts et taxes,Finances et contributions
D 3 30.03,Règlement d'application de l'article 8A de la loi sur les droits d'enregistrement (RDE),D,D 3,Impôts et taxes,Finances et contributions
D 3 35,Loi sur la dation en paiement (LDatP),D,D 3,Impôts et taxes,Finances et contributions
D 3 35.01,Règlement d’application de la loi sur la dation en paiement (RDatP),D,D 3,Impôts et taxes,Finances et contributions
D 3 40,Loi sur les mutations au registre foncier (LMRF),D,D 3,Impôts et taxes,Finances et contributions
D 3 45,Loi sur la constitution de réserves de crise par l’économie privée (LRCEP),D,D 3,Impôts et taxes,Finances et contributions
D 3 45.01,Règlement d’exécution de la loi sur la constitution de réserves de crise par l’économie privée (RRCEP),D,D 3,Impôts et taxes,Finances et contributions
D 3 50,Loi sur les allégements fiscaux pour les réserves de crise (LAFRC),D,D 3,Impôts et taxes,Finances et contributions
D 3 60,Concordat entre les cantons de la Confédération suisse sur l’interdiction des arrangements fiscaux (CIAF),D,D 3,Impôts et taxes,Finances et contributions
D 3 60.0,"Loi autorisant le Conseil d’Etat à adhérer, au nom de la République et canton de Genève, au concordat entre les cantons de la Confédération suisse sur l’interdiction des arrangements fiscaux (L-CIAF)",D,D 3,Impôts et taxes,Finances et contributions
D 3 70,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
D 3 80.04,Règlement d’application de diverses dispositions fiscales fédérales (RDDFF),D,D 3,Impôts et taxes,Finances et contributions
E 1 05,Loi d’application du code civil suisse et d’autres lois fédérales en matière civile (LaCC),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 05.10,Règlement fixant le tarif des frais en matière civile (RTFMC),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 05.15,Règlement fixant la rémunération des curateurs (RRC),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 13,Loi sur l’état civil (LEC),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 13.03,Règlement sur l’état civil (REC),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 13.09,Règlement fixant le tarif des émoluments en matière de changement de nom et de prononcé d'adoption (REmNA),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 16,Loi sur la surveillance des fondations de droit civil et des institutions de prévoyance (LSFIP),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 21.02,Règlement d’application de l’ordonnance fédérale sur l’activité à titre professionnel de mandataire visant à la conclusion d’un mariage ou à l’établissement d’un partenariat stable entre des personnes venant de l’étranger ou s’y rendant (ROAMCM),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 25,Loi sur l’avance et le recouvrement des pensions alimentaires (LARPA),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 25.01,Règlement d’application de la loi sur l’avance et le recouvrement des pensions alimentaires (RARPA),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 27,Loi sur le partenariat (LPart-GE),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 27.01,Règlement d'application de la loi sur le partenariat (RPart-GE),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 40,Loi concernant la vente d’objets abandonnés sur les terrains de l’Etat (LVOA),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 40.03,Règlement concernant les objets trouvés (RObjT),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 43,Loi d’application de la loi fédérale sur l’acquisition d’immeubles par des personnes à l’étranger (LaLFAIE),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 46,Loi sur la géoinformation (LGéo-GE),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 46.01,Règlement sur la géoinformation (RGéo-GE),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 50.04,Règlement sur le registre foncier (RRF),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 50.06,Règlement sur le tarif des émoluments de l’office du registre foncier et de la direction de l’information du territoire (REmORFDIT),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 1 50.13,Règlement concernant les autorisations de construire dites « à bien plaire » (RACBP),E,E 1,Droit civil et droit des obligations,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05,Loi sur l’organisation judiciaire (LOJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.04,"Règlement sur l’assistance juridique et l’indemnisation des conseils juridiques et défenseurs d’office en matière civile, administrative et pénale (RAJ)",E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.05,Règlement relatif à la formation spécifique des juges assesseurs de la chambre des assurances sociales de la Cour de justice (RFCAS),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.07,Règlement fixant le nombre de juges assesseurs à élire au Tribunal administratif de première instance (RNTAPI),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.08,Règlement relatif aux juges assesseurs et aux juges suppléants du Tribunal de protection de l’adulte et de l’enfant (RJTPAE),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.09,Règlement fixant le nombre de juges assesseurs à élire au Tribunal de protection de l'adulte et de l'enfant (RNTPAE),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.10,Règlement de fonctionnement de la commission de gestion du pouvoir judiciaire de la République et canton de Genève (RCGPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.20,Règlement de fonctionnement du conseil supérieur de la magistrature (RFCSM),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.30,Règlement de fonctionnement de la conférence des présidents de juridiction (RCPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.40,Règlement du Ministère public (RMinPub),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.41,Règlement du Tribunal civil (RTC),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.42,Règlement du Tribunal pénal (RTPén),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.43,Règlement du Tribunal de protection de l’adulte et de l’enfant (RTPAE),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.44,Règlement du Tribunal des prud’hommes (RTPH),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.45,Règlement du Tribunal des mineurs (RTMin),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.46,Règlement du Tribunal administratif de première instance (RTAPI),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.47,Règlement de la Cour de justice (RCJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.48,Règlement de la Cour d’appel du pouvoir judiciaire (RCAPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.50,Règlement du personnel du pouvoir judiciaire (RPPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.52,Règlement du pouvoir judiciaire sur l'accès aux documents et aux données personnelles (RADPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.53,Règlement sur la communication du pouvoir judiciaire (RComPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.54,Règlement sur l'audit interne du pouvoir judiciaire de la République et canton de Genève (RAIPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 05.60,Règlement relatif aux interprètes et traducteurs mis en œuvre par le pouvoir judiciaire (RITPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 20.03,Règlement relatif à l’élection de certains membres du conseil supérieur de la magistrature (REMCSM),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 40,Loi concernant le traitement et la retraite des magistrats du pouvoir judiciaire (LTRPJ),E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 2 40.03,"Règlement concernant les indemnités allouées à divers magistrates et magistrats du pouvoir judiciaire, aux membres du Tribunal arbitral et aux membres du conseil supérieur de la magistrature (RIPJ)",E,E 2,Organisation judiciaire et pouvoir judiciaire,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 05.17,Règlement relatif à la surveillance d’objets provenant d’évacuation (RSOE),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 10,Loi sur le Tribunal des prud’hommes (LTPH),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 10.03,Règlement sur la formation des juges et présidents du Tribunal des prud'hommes (RFTPH),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 15,Loi organisant la commission de conciliation en matière de baux et loyers (LCCBL),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 60,Loi d’application de la loi fédérale sur la poursuite pour dettes et la faillite (LaLP),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 60.03,Règlement fixant le tarif des frais en matière d'assistance des communes pour la notification des actes de poursuite (RTFACAP),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 3 60.04,Normes d'insaisissabilité pour l'année 2025 (NI-2025),E,E 3,Procédure civile,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 05,Loi pénale genevoise (LPG),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 05.03,Règlement sur la salubrité et la tranquillité publiques (RSTP),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 10,Loi d’application du code pénal suisse et d’autres lois fédérales en matière pénale (LaCP),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 10.03,Règlement fixant le tarif des frais en matière pénale (RTFMP),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 10.04,Règlement d’exécution du code pénal suisse en matière d'interruption de grossesse non punissable (RCPIG),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 10.06,Règlement concernant les modalités de signature des ordonnances pénales rendues par le service des contraventions (RMSOP),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 10.15,Règlement de fonctionnement de la commission d'évaluation de la dangerosité (RComED),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55,Concordat sur l’exécution des peines privatives de liberté et des mesures concernant les adultes et les jeunes adultes dans les cantons latins (concordat latin sur la détention pénale des adultes) (CLDPA),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.0,Loi autorisant le Conseil d’Etat à adhérer au concordat sur l’exécution des peines privatives de liberté et des mesures concernant les adultes et les jeunes adultes dans les cantons latins (concordat latin sur la détention pénale des adultes) (L-CLDPA),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.04,"Règlement concernant la liste des établissements pour l'exécution des privations de liberté à caractère pénal (détention avant jugement, peines et mesures, respectivement sanctions pénales en force ou subies à titre anticipé) (règlement sur les établissements) (RLEPLP)",E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.05,Règlement sur l’exécution des peines et mesures (REPM),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.07,Règlement sur l'exécution des peines sous la forme de la semi-détention (RSD),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.09,Règlement sur l'exécution des peines sous la forme du travail d’intérêt général (RTIG),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.11,Règlement sur l'exécution des peines privatives de liberté sous surveillance électronique (RSE),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.13,Règlement sur les formes alternatives d'exécution des peines (RFAEP),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.15,Règlement concernant l'octroi d'autorisations de sortie aux personnes condamnées adultes et jeunes adultes (RASPCA),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 55.17,Règlement sur le processus latin d’exécution des sanctions orientée vers le risque et les ressources (RPLESORR),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 58,Concordat sur l'exécution de la détention pénale des personnes mineures des cantons romands (et partiellement du Tessin) (CEDPM),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 58.0,Loi autorisant le Conseil d'Etat à adhérer au concordat sur l'exécution de la détention pénale des personnes mineures des cantons romands (et partiellement du Tessin) (L-CEDPM),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 58.01,Règlement concernant le concordat sur l'exécution de la détention pénale des personnes mineures des cantons romands (et partiellement du Tessin) (REDPM),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 58.03,Règlement sur le droit disciplinaire applicable aux personnes détenues pénalement ou placées dans des établissements fermés pour mineurs (RDDPDM),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 58.05,Règlement concernant l’octroi d’autorisations de sortie aux personnes condamnées mineures (RASPCM),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 60,Loi sur les mesures visant à promouvoir la sécurité des minorités ayant un besoin de protection particulier (LSMP),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 4 70,Loi sur la création d’un fonds destiné à la lutte contre la drogue et à la prévention de la toxicomanie (LFLD),E,E 4,Droit pénal et procédure pénale,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 5 10,Loi sur la procédure administrative (LPA),E,E 5,Procédure administrative,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 5 10.03,"Règlement sur les frais, émoluments et indemnités en procédure administrative (RFPA)",E,E 5,Procédure administrative,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 05,Loi sur le notariat (LNot),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 05.01,Règlement d’exécution de la loi sur le notariat (RNot),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 05.03,Règlement sur les émoluments des notaires (REmNot),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 10,Loi sur la profession d’avocat (LPAv),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 10.01,Règlement d’application de la loi sur la profession d’avocat (RPAv),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 15,Loi sur la profession d’huissier judiciaire (LHJ),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 15.04,Règlement sur l’exercice de la profession d’huissier judiciaire (RHJ),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
